"State","County","Number of providers with 30-patient waivers","Number of providers with 100-patient waivers","Number of providers with 275-patient waivers","Total number of waivered providers","Patient capacity","Patient capacity rate","High need for treatment services","Low-to-no patient capacity"
"Georgia","Cherokee County","8","3","1","12","815","337.21","No","Yes"
"Georgia","Clarke County","9","4","2","15","1,220","978.29","Yes","No"
"Georgia","Clay County","0","0","0","0","0","0","No","Yes"
"Georgia","Clayton County","12","2","2","16","1,110","397.19","No","Yes"
"Georgia","Clinch County","0","0","0","0","0","0","Yes","Yes"
"Georgia","Cobb County","66","14","15","95","7,505","1,003.14","No","No"
"Georgia","Coffee County","2","1","1","4","435","1,011.35","Yes","No"
"Georgia","Colquitt County","2","1","0","3","160","350.05","Yes","Yes"
"Georgia","Columbia County","5","5","1","11","925","627.33","No","No"
"Georgia","Cook County","0","0","0","0","0","0","Yes","Yes"
"Georgia","Coweta County","4","1","0","5","220","156.55","No","Yes"
"Georgia","Crawford County","0","0","0","0","0","0","No","Yes"
"Georgia","Crisp County","0","0","0","0","0","0","No","Yes"
"Georgia","Dade County","0","0","0","0","0","0","No","Yes"
"Georgia","Dawson County","0","1","0","1","100","423.66","Yes","Yes"
"Georgia","Decatur County","2","0","0","2","60","223.7","Yes","Yes"
"Georgia","DeKalb County","78","21","4","103","5,540","748.32","No","No"
"Georgia","Dodge County","4","1","0","5","220","1,069.88","Yes","No"
"Georgia","Dooly County","0","0","0","0","0","0","No","Yes"
"Georgia","Dougherty County","3","3","1","7","665","738.75","Yes","No"
"Georgia","Douglas County","1","2","1","4","505","355.07","Yes","Yes"
"Georgia","Early County","1","0","0","1","30","290.16","Yes","Yes"
"Georgia","Echols County","0","0","0","0","0","0","No","Yes"
"Georgia","Effingham County","2","0","0","2","60","102.19","No","Yes"
"Georgia","Elbert County","1","1","0","2","130","679.1","Yes","No"
"Georgia","Emanuel County","0","0","1","1","275","1,214.93","Yes","No"
"Georgia","Evans County","0","0","0","0","0","0","Yes","Yes"
"Georgia","Fannin County","1","1","0","2","130","522.09","Yes","No"
"Georgia","Fayette County","7","1","2","10","860","770.42","No","No"
"Georgia","Floyd County","4","2","0","6","320","331.4","Yes","Yes"
"Georgia","Forsyth County","4","4","1","9","795","359.71","No","Yes"
"Georgia","Franklin County","0","0","0","0","0","0","Yes","Yes"
"Georgia","Fulton County","95","20","8","123","7,050","688.92","No","No"
"Georgia","Gilmer County","0","0","0","0","0","0","Yes","Yes"
"Georgia","Glascock County","0","0","0","0","0","0","No","Yes"
"Georgia","Glynn County","10","8","3","21","1,925","2,278.05","Yes","No"
"Georgia","Gordon County","0","0","0","0","0","0","Yes","Yes"
"Georgia","Grady County","1","0","0","1","30","120.93","No","Yes"
"Georgia","Greene County","0","1","0","1","100","588.13","Yes","No"
"Georgia","Gwinnett County","33","10","2","45","2,540","280","No","Yes"
"Georgia","Habersham County","0","0","0","0","0","0","Yes","Yes"
"Georgia","Hall County","13","2","0","15","590","300.05","No","Yes"
"Georgia","Hancock County","0","0","0","0","0","0","No","Yes"
"Georgia","Haralson County","0","0","0","0","0","0","Yes","Yes"
"Georgia","Harris County","0","0","0","0","0","0","No","Yes"
"Georgia","Hart County","1","0","0","1","30","117.4","No","Yes"
"Georgia","Heard County","0","0","0","0","0","0","No","Yes"
"Georgia","Henry County","18","4","0","22","940","423.87","No","Yes"
"Georgia","Houston County","3","13","2","18","1,940","1,275.29","No","No"
"Georgia","Irwin County","2","0","0","2","60","636.81","No","No"
"Georgia","Jackson County","1","1","0","2","130","201.19","Yes","Yes"
"Georgia","Jasper County","1","0","0","1","30","219.72","No","Yes"
"Georgia","Jeff Davis County","0","0","0","0","0","0","Yes","Yes"
"Georgia","Jefferson County","0","0","0","0","0","0","Yes","Yes"
"Georgia","Jenkins County","0","0","1","1","275","3,107.7","No","No"
"Georgia","Johnson County","0","0","0","0","0","0","Yes","Yes"
"Georgia","Jones County","0","2","0","2","200","698.74","No","No"
"Georgia","Lamar County","1","1","0","2","130","703.88","No","No"
"Georgia","Lanier County","0","0","0","0","0","0","No","Yes"
"Georgia","Laurens County","5","0","0","5","150","315.68","Yes","Yes"
"Georgia","Lee County","0","0","0","0","0","0","No","Yes"
"Georgia","Liberty County","8","0","1","9","515","823.08","No","No"
"Georgia","Lincoln County","0","0","0","0","0","0","No","Yes"
"Georgia","Long County","0","0","0","0","0","0","No","Yes"
"Georgia","Lowndes County","6","4","0","10","580","505.98","Yes","No"
"Georgia","Lumpkin County","1","1","0","2","130","413.42","Yes","Yes"
"Georgia","McDuffie County","0","1","0","1","100","465.33","Yes","Yes"
"Georgia","McIntosh County","1","1","0","2","130","933.44","Yes","No"
"Georgia","Macon County","0","0","0","0","0","0","No","Yes"
"Georgia","Madison County","0","0","0","0","0","0","Yes","Yes"
"Georgia","Marion County","0","0","0","0","0","0","No","Yes"
"Georgia","Meriwether County","0","0","0","0","0","0","No","Yes"
"Georgia","Miller County","0","0","0","0","0","0","Yes","Yes"
"Georgia","Mitchell County","0","0","0","0","0","0","Yes","Yes"
"Georgia","Monroe County","0","0","0","0","0","0","No","Yes"
"Georgia","Montgomery County","0","0","0","0","0","0","No","Yes"
"Georgia","Morgan County","0","0","0","0","0","0","No","Yes"
"Georgia","Murray County","1","0","0","1","30","76.31","No","Yes"
"Georgia","Muscogee County","10","3","4","17","1,700","860.82","No","No"
"Georgia","Newton County","0","0","0","0","0","0","No","Yes"
"Georgia","Oconee County","3","3","0","6","390","1,058.69","No","No"
"Georgia","Oglethorpe County","0","1","0","1","100","670.2","No","No"
"Georgia","Paulding County","5","0","1","6","425","272.74","No","Yes"
"Georgia","Peach County","0","0","0","0","0","0","No","Yes"
"Georgia","Pickens County","0","0","0","0","0","0","Yes","Yes"
"Georgia","Pierce County","0","0","0","0","0","0","Yes","Yes"
"Georgia","Pike County","0","0","0","0","0","0","No","Yes"
"Georgia","Polk County","0","0","0","0","0","0","Yes","Yes"
"Georgia","Pulaski County","1","0","0","1","30","266.64","Yes","Yes"
"Georgia","Putnam County","1","1","0","2","130","605.3","No","No"
"Georgia","Quitman County","0","0","0","0","0","0","No","Yes"
"Georgia","Rabun County","1","1","1","3","405","2,445.8","No","No"
"Georgia","Randolph County","0","0","0","0","0","0","No","Yes"
"Georgia","Richmond County","18","3","1","22","1,115","552.95","Yes","No"
"Georgia","Rockdale County","1","2","0","3","230","257.4","No","Yes"
"Georgia","Schley County","0","0","0","0","0","0","No","Yes"
"Georgia","Screven County","0","0","0","0","0","0","No","Yes"
"Georgia","Seminole County","0","0","0","0","0","0","Yes","Yes"
"Georgia","Spalding County","1","1","1","3","405","624.94","No","No"
"Georgia","Stephens County","3","0","1","4","365","1,417.42","Yes","No"
"Georgia","Stewart County","0","0","0","0","0","0","No","Yes"
"Georgia","Sumter County","0","1","0","1","100","329.07","No","Yes"
"Georgia","Talbot County","0","0","0","0","0","0","No","Yes"
"Georgia","Taliaferro County","0","0","0","0","0","0","No","Yes"
"Georgia","Tattnall County","2","2","0","4","260","1,036.19","No","No"
"Georgia","Taylor County","0","0","0","0","0","0","No","Yes"
"Georgia","Telfair County","0","1","0","1","100","626.37","No","No"
"Georgia","Terrell County","0","0","0","0","0","0","No","Yes"
"Georgia","Thomas County","4","0","1","5","395","872.97","Yes","No"
"Georgia","Tift County","3","0","0","3","90","220.44","Yes","Yes"
"Georgia","Toombs County","0","3","0","3","300","1,103.1","Yes","No"
"Georgia","Towns County","1","0","1","2","305","2,677.55","Yes","No"
"Georgia","Treutlen County","0","0","0","0","0","0","No","Yes"
"Georgia","Troup County","0","2","0","2","200","285.69","No","Yes"
"Georgia","Turner County","0","0","0","0","0","0","Yes","Yes"
"Georgia","Twiggs County","3","0","0","3","90","1,101.46","Yes","No"
"Georgia","Union County","1","0","0","1","30","130.84","Yes","Yes"
"Georgia","Upson County","2","0","0","2","60","227.83","No","Yes"
"Georgia","Walker County","0","1","0","1","100","147.28","No","Yes"
"Georgia","Walton County","4","0","0","4","120","133.06","Yes","Yes"
"Georgia","Ware County","5","4","1","10","825","2,308.47","Yes","No"
"Georgia","Warren County","0","0","0","0","0","0","No","Yes"
"Georgia","Washington County","1","0","0","1","30","146.65","Yes","Yes"
"Georgia","Wayne County","0","1","0","1","100","332.18","Yes","Yes"
"Georgia","Webster County","0","0","0","0","0","0","No","Yes"
"Georgia","Wheeler County","0","0","0","0","0","0","No","Yes"
"Georgia","White County","1","3","0","4","330","1,142.5","No","No"
"Georgia","Whitfield County","3","1","2","6","740","707.53","No","No"
"Georgia","Wilcox County","0","0","0","0","0","0","Yes","Yes"
"Georgia","Wilkes County","0","0","0","0","0","0","Yes","Yes"
"Georgia","Wilkinson County","0","0","0","0","0","0","Yes","Yes"
"Georgia","Worth County","0","0","0","0","0","0","Yes","Yes"
"Hawaii","Hawaii County","31","5","1","37","1,705","859.16","No","No"
"Hawaii","Honolulu County","89","12","2","103","4,420","445.29","No","Yes"
"Hawaii","Kalawao County","0","0","0","0","0","0","No","Yes"
"Hawaii","Kauai County","6","2","1","9","655","909.36","No","No"
"Hawaii","Maui County","8","3","0","11","540","326.51","No","Yes"
"Idaho","Ada County","63","9","3","75","3,615","814.14","No","No"
"Idaho","Adams County","0","0","0","0","0","0","No","Yes"
"Idaho","Bannock County","3","1","0","4","190","225.18","Yes","Yes"
"Idaho","Bear Lake County","0","1","0","1","100","1,682.09","Yes","No"
"Idaho","Benewah County","0","0","0","0","0","0","Yes","Yes"
"Idaho","Bingham County","2","2","0","4","260","575.21","No","No"
"Idaho","Blaine County","1","0","0","1","30","137.67","No","Yes"
"Idaho","Boise County","0","0","0","0","0","0","Yes","Yes"
"Idaho","Bonner County","5","1","2","8","800","1,880.76","No","No"
"Idaho","Bonneville County","7","6","1","14","1,085","966.75","Yes","No"
"Idaho","Boundary County","0","0","0","0","0","0","No","Yes"
"Idaho","Butte County","0","0","0","0","0","0","Yes","Yes"
"Idaho","Camas County","0","0","0","0","0","0","No","Yes"
"Idaho","Canyon County","10","1","0","11","400","188.95","No","Yes"
"Idaho","Caribou County","1","1","0","2","130","1,887.61","Yes","No"
"Idaho","Cassia County","1","0","0","1","30","127.64","No","Yes"
"Idaho","Clark County","0","0","0","0","0","0","No","Yes"
"Idaho","Clearwater County","1","0","0","1","30","353.07","No","Yes"
"Idaho","Custer County","0","0","0","0","0","0","No","Yes"
"Idaho","Elmore County","0","1","0","1","100","384.35","No","Yes"
"Idaho","Franklin County","0","0","0","0","0","0","Yes","Yes"
"Idaho","Fremont County","2","0","0","2","60","463.57","No","Yes"
"Idaho","Gem County","1","0","0","1","30","174.58","Yes","Yes"
"Idaho","Gooding County","0","2","0","2","200","1,317.09","No","No"
"Idaho","Idaho County","0","0","0","0","0","0","No","Yes"
"Idaho","Jefferson County","0","0","0","0","0","0","No","Yes"
"Idaho","Jerome County","1","0","0","1","30","130.47","No","Yes"
"Idaho","Kootenai County","18","6","2","26","1,690","1,095.19","No","No"
"Idaho","Latah County","1","0","0","1","30","76.54","No","Yes"
"Idaho","Lemhi County","0","0","1","1","275","3,560.79","No","No"
"Idaho","Lewis County","0","0","0","0","0","0","No","Yes"
"Idaho","Lincoln County","0","0","0","0","0","0","No","Yes"
"Idaho","Madison County","1","0","0","1","30","76.83","No","Yes"
"Idaho","Minidoka County","0","0","0","0","0","0","No","Yes"
"Idaho","Nez Perce County","7","0","2","9","760","1,882.63","No","No"
"Idaho","Oneida County","0","0","0","0","0","0","Yes","Yes"
"Idaho","Owyhee County","0","0","0","0","0","0","No","Yes"
"Idaho","Payette County","1","1","0","2","130","564.58","No","No"
"Idaho","Power County","0","0","0","0","0","0","No","Yes"
"Idaho","Shoshone County","0","1","0","1","100","803.08","Yes","No"
"Idaho","Teton County","1","0","0","1","30","273.72","No","Yes"
"Idaho","Twin Falls County","4","2","0","6","320","383.17","Yes","Yes"
"Idaho","Valley County","2","0","0","2","60","571.65","Yes","No"
"Idaho","Washington County","0","0","0","0","0","0","No","Yes"
"Illinois","Adams County","6","1","0","7","280","420.56","No","Yes"
"Illinois","Alexander County","1","0","0","1","30","463.11","No","Yes"
"Illinois","Bond County","0","0","1","1","275","1,634.57","No","No"
"Illinois","Boone County","0","1","1","2","375","700.9","No","No"
"Illinois","Brown County","0","0","0","0","0","0","No","Yes"
"Illinois","Bureau County","1","1","0","2","130","389.7","No","Yes"
"Illinois","Calhoun County","0","0","0","0","0","0","No","Yes"
"Illinois","Carroll County","0","0","0","0","0","0","No","Yes"
"Illinois","Cass County","1","0","0","1","30","236.67","No","Yes"
"Illinois","Champaign County","6","2","2","10","930","446.22","No","Yes"
"Illinois","Christian County","0","0","0","0","0","0","Yes","Yes"
"Illinois","Clark County","0","1","0","1","100","627.43","No","No"
"Illinois","Clay County","0","0","0","0","0","0","No","Yes"
"Illinois","Clinton County","0","0","0","0","0","0","No","Yes"
"Illinois","Coles County","5","1","0","6","250","477.62","No","No"
"Illinois","Cook County","490","95","21","606","29,975","576.05","No","No"
"Illinois","Crawford County","2","0","0","2","60","310.75","No","Yes"
"Illinois","Cumberland County","0","0","0","0","0","0","No","Yes"
"Illinois","DeKalb County","4","1","0","5","220","210.47","No","Yes"
"Illinois","De Witt County","1","0","0","1","30","184.89","Yes","Yes"
"Illinois","Douglas County","0","0","0","0","0","0","No","Yes"
"Illinois","DuPage County","62","16","5","83","4,835","520.25","No","No"
"Illinois","Edgar County","0","0","0","0","0","0","No","Yes"
"Illinois","Edwards County","0","0","0","0","0","0","No","Yes"
"Illinois","Effingham County","2","0","2","4","610","1,773.98","No","No"
"Illinois","Fayette County","1","0","0","1","30","137.68","No","Yes"
"Illinois","Ford County","1","0","0","1","30","220.99","No","Yes"
"Illinois","Franklin County","0","2","0","2","200","510.78","Yes","No"
"Illinois","Fulton County","1","0","1","2","305","858.28","No","No"
"Illinois","Gallatin County","0","0","0","0","0","0","No","Yes"
"Illinois","Greene County","1","0","0","1","30","229.13","No","Yes"
"Illinois","Grundy County","3","1","0","4","190","376.71","Yes","Yes"
"Illinois","Hamilton County","0","0","0","0","0","0","No","Yes"
"Illinois","Hancock County","0","0","0","0","0","0","No","Yes"
"Illinois","Hardin County","2","0","0","2","60","1,491.05","Yes","No"
"Illinois","Henderson County","0","0","0","0","0","0","No","Yes"
"Illinois","Henry County","0","0","0","0","0","0","No","Yes"
"Illinois","Iroquois County","0","0","0","0","0","0","No","Yes"
"Illinois","Jackson County","4","1","3","8","1,045","1,775.1","Yes","No"
"Illinois","Jasper County","0","0","0","0","0","0","No","Yes"
"Illinois","Jefferson County","1","0","0","1","30","78","No","Yes"
"Illinois","Jersey County","0","0","0","0","0","0","Yes","Yes"
"Illinois","Jo Daviess County","0","0","0","0","0","0","No","Yes"
"Illinois","Johnson County","1","0","0","1","30","232.52","No","Yes"
"Illinois","Kane County","15","6","1","22","1,325","249.19","No","Yes"
"Illinois","Kankakee County","4","2","0","6","320","290.89","No","Yes"
"Illinois","Kendall County","0","0","1","1","275","220.54","No","Yes"
"Illinois","Knox County","1","0","0","1","30","58.9","No","Yes"
"Illinois","Lake County","38","4","4","46","2,640","375.51","No","Yes"
"Illinois","LaSalle County","4","1","0","5","220","198.84","Yes","Yes"
"Illinois","Lawrence County","0","0","0","0","0","0","No","Yes"
"Illinois","Lee County","0","0","0","0","0","0","No","Yes"
"Illinois","Livingston County","2","0","0","2","60","164.27","No","Yes"
"Illinois","Logan County","1","0","0","1","30","101.6","No","Yes"
"Illinois","McDonough County","0","0","0","0","0","0","No","Yes"
"Illinois","McHenry County","9","3","2","14","1,120","364.82","No","Yes"
"Illinois","McLean County","2","1","0","3","160","92.8","No","Yes"
"Illinois","Macon County","11","2","0","13","530","497.42","Yes","No"
"Illinois","Macoupin County","2","4","0","6","460","1,002","No","No"
