Fiscal Year,County,Adult Disabled 18-64: Population,Adult Disabled 18-64: % of Population,65 and older: Population,65 and older: % of Population,Total Population
2020,Somervell,497,5,2061,22,9294
2020,Starr,5449,8,8200,13,64731
2020,Stephens,903,9,2008,21,9570
2020,Sterling,100,8,318,25,1252
2020,Stonewall,130,9,476,31,1523
2020,Sutton,129,3,921,21,4381
2020,Swisher,529,7,1491,20,7414
2020,Tarrant,117544,5,263021,12,2143755
2020,Taylor,10541,8,21211,15,139457
2020,Terrell,41,4,327,31,1054
2020,Terry,902,7,2042,16,13040
2020,Throckmorton,127,8,425,28,1519
2020,Titus,1951,6,5169,16,32953
2020,Tom Green,8075,7,19624,16,123276
2020,Travis,59772,5,131483,10,1291502
2020,Trinity,1847,13,3908,27,14233
2020,Tyler,2481,12,4814,23,21343
2020,Upshur,3784,9,8128,20,41655
2020,Upton,151,4,758,19,3983
2020,Uvalde,2040,7,4633,17,27937
2020,Val Verde,3602,7,7272,15,48253
2020,Van Zandt,4743,9,12148,22,55469
2020,Victoria,6798,7,15616,16,97744
2020,Walker,2902,4,10231,14,73997
2020,Waller,3406,7,7098,14,50731
2020,Ward,763,6,1886,14,13592
2020,Washington,2068,6,7694,22,35155
2020,Webb,16358,6,27904,10,276183
2020,Wharton,2891,7,7669,18,41941
2020,Wheeler,360,6,1290,22,5783
2020,Wichita,12081,9,21957,16,133138
2020,Wilbarger,1434,11,2656,20,13038
2020,Willacy,1950,9,3199,14,22134
2020,Williamson,31941,5,76241,13,589914
2020,Wilson,3363,6,9292,18,51802
2020,Winkler,494,5,1107,12,9295
2020,Wise,6029,9,11436,17,65807
2020,Wood,4088,9,12628,28,45292
2020,Yoakum,363,4,1237,13,9225
2020,Young,1196,6,4163,22,18712
2020,Zapata,1219,8,1939,13,14409
2020,Zavala,1414,11,1756,14,12682
2020,Unknown,,,,,
2020,Out of State,,,,,
2020,None Specified,,,,,
2019,Anderson,4104,7,8819,15,58248
2019,Andrews,973,5,2113,10,21305
2019,Angelina,8887,10,14514,16,90151
2019,Aransas,2366,9,7439,27,27198
2019,Archer,580,7,1711,20,8393
2019,Armstrong,67,3,574,29,1951
2019,Atascosa,2882,6,7716,15,51048
2019,Austin,2308,8,6095,20,30207
2019,Bailey,427,6,1097,14,7638
2019,Bandera,1926,9,5921,28,21174
2019,Bastrop,6989,8,13845,16,84866
2019,Baylor,283,8,885,24,3629
2019,Bee,3427,10,4259,12,34195
2019,Bell,29934,9,36163,10,349441
2019,Bexar,158433,8,253182,12,2053260
2019,Blanco,1057,9,3033,27,11393
2019,Borden,60,9,206,30,681
2019,Bosque,1262,7,4504,25,17793
2019,Bowie,6586,7,16188,17,92596
2019,Brazoria,19021,5,46217,13,369156
2019,Brazos,10063,4,20929,9,225224
2019,Brewster,1089,12,1937,21,9157
2019,Briscoe,59,4,442,28,1572
2019,Brooks,593,8,1449,20,7178
2019,Brown,2010,5,8396,22,38873
2019,Burleson,969,5,3803,22,17649
2019,Burnet,4055,9,10842,23,47634
2019,Caldwell,3170,7,6575,15,43618
2019,Calhoun,1795,8,4032,18,22707
2019,Callahan,1135,8,3024,22,13454
2019,Cameron,24707,6,59391,14,426216
2019,Camp,889,7,2447,18,13231
2019,Carson,270,5,1065,18,5832
2019,Cass,2484,8,7134,23,30365
2019,Castro,360,5,1220,17,7190
2019,Chambers,2683,6,5272,13,41451
2019,Cherokee,3382,6,9076,17,52090
2019,Childress,483,7,1182,17,7068
2019,Clay,936,9,2301,23,9885
2019,Cochran,256,8,563,17,3315
2019,Coke,171,5,909,28,3226
2019,Coleman,532,6,2127,25,8527
2019,Collin,33094,3,114963,11,1010828
2019,Collingsworth,165,5,636,20,3188
2019,Colorado,1339,6,4809,23,21239
2019,Comal,9704,7,26878,19,142701
2019,Comanche,988,8,3256,25,13173
2019,Concho,105,3,799,19,4136
2019,Cooke,2789,7,7756,20,39595
2019,Coryell,8180,10,7066,9,77978
2019,Cottle,110,7,445,29,1515
2019,Crane,246,4,793,13,5991
2019,Crockett,197,5,820,20,4010
2019,Crosby,488,8,1386,22,6413
2019,Culberson,306,14,537,24,2261
2019,Dallam,556,8,699,10,7173
2019,Dallas,138795,5,286751,11,2697424
2019,Dawson,1365,10,2055,15,13611
2019,Deaf Smith,1012,6,2297,13,18255
2019,Delta,529,10,1325,25,5366
2019,Denton,36545,4,91622,11,870845
2019,DeWitt,1605,7,4431,21,21573
2019,Dickens,250,11,560,26,2188
2019,Dimmit,1278,11,1794,16,11533
2019,Donley,242,7,845,25,3440
2019,Duval,1500,13,2237,19,11803
2019,Eastland,1926,11,4157,23,18261
2019,Ector,12620,7,17870,10,179208
2019,Edwards,307,15,596,30,2004
2019,Ellis,10250,6,23994,14,174749
2019,El Paso,61514,7,112372,13,869040
2019,Erath,2164,5,6144,15,41086
2019,Falls,1912,11,3183,19,16712
2019,Fannin,2576,7,7222,21,34524
2019,Fayette,1402,5,6526,25,25900
2019,Fisher,241,6,1020,26,3983
2019,Floyd,317,5,1266,22,5834
2019,Foard,99,8,354,29,1240
2019,Fort Bend,30064,4,96564,12,810619
2019,Franklin,1119,10,2197,20,10885
2019,Freestone,1691,9,3895,20,19879
2019,Frio,1870,9,2642,13,19718
2019,Gaines,1408,7,2277,11,21620
2019,Galveston,24437,7,50888,15,348442
2019,Garza,421,6,805,12,6756
2019,Gillespie,1072,4,7672,29,26019
2019,Glasscock,16,1,290,21,1349
2019,Goliad,693,9,1971,26,7672
2019,Gonzales,1823,9,3764,18,21216
2019,Gray,2378,10,3742,16,24040
2019,Grayson,11456,9,24142,18,130657
2019,Gregg,8835,7,19472,16,125425
2019,Grimes,1368,5,5397,19,28710
2019,Guadalupe,10439,6,23652,14,165837
2019,Hale,1772,5,4664,14,33527
2019,Hall,287,9,814,25,3312
2019,Hamilton,951,12,2048,25,8234
2019,Hansford,352,6,947,16,5802
2019,Hardeman,493,13,766,20,3888
2019,Hardin,4433,8,9952,18,56350
2019,Harris,238644,5,504961,10,4887341
2019,Harrison,3736,5,11457,17,68004
2019,Hartley,227,4,929,15,6064
2019,Haskell,811,13,1346,22,6150
2019,Hays,10360,5,28575,13,225516
2019,Hemphill,336,7,640,14,4527
2019,Henderson,6426,8,18392,23,80985
2019,Hidalgo,54036,6,98758,11,860844
2019,Hill,3061,9,7656,21,35644
2019,Hockley,1793,7,3737,15,24455
2019,Hood,3249,6,14865,26,57881
2019,Hopkins,3106,8,7323,20,36879
2019,Houston,1832,8,4865,21,22738
2019,Howard,4058,10,4943,12,40521
2019,Hudspeth,446,13,751,22,3401
2019,Hunt,7863,8,16093,17,94285
2019,Hutchinson,2129,10,3599,17,21511
2019,Irion,74,5,391,26,1513
2019,Jack,954,11,1526,17,8845
2019,Jackson,1284,8,2860,18,15699
2019,Jasper,3589,10,7207,20,35593
2019,Jeff Davis,133,6,739,35,2129
2019,Jefferson,17907,7,37446,15,258020
2019,Jim Hogg,563,11,897,18,5099
2019,Jim Wells,2989,7,6787,16,42697
2019,Johnson,8983,5,25695,15,169575
2019,Jones,2894,15,3114,16,19766
2019,Karnes,1085,7,2446,16,15309
2019,Kaufman,7825,6,17258,14,122724
2019,Kendall,2636,6,9363,21,44686
2019,Kenedy,29,6,112,24,470
2019,Kent,102,13,244,31,792
2019,Kerr,4254,8,14114,27,51993
2019,Kimble,270,6,1298,30,4365
2019,King,2,1,67,22,306
2019,Kinney,195,6,856,25,3465
2019,Kleberg,2226,7,4392,14,31002
2019,Knox,322,8,870,22,3912
2019,Lamar,4073,8,10183,20,50032
2019,Lamb,880,7,2460,19,12903
2019,Lampasas,1883,9,4371,21,20885
2019,La Salle,862,11,1336,16,8154
2019,Lavaca,1364,7,4539,22,20522
2019,Lee,1216,7,3356,19,17502
2019,Leon,1542,9,4278,24,17617
2019,Liberty,8656,10,12629,15,84278
2019,Limestone,1908,8,4620,20,23544
2019,Lipscomb,224,6,715,20,3618
2019,Live Oak,1029,9,2595,22,11970
2019,Llano,1974,10,6671,34,19428
2019,Loving,11,12,32,35,91
2019,Lubbock,24320,8,41484,13,312653
2019,Lynn,539,10,1011,18,5613
2019,Madison,1187,8,2280,16,14420
2019,Marion,1024,10,2619,25,10343
2019,Martin,244,4,900,15,5898
